"Size of Site","Price","Location","Contact Information"
722.01,"$62.81","East Christiancester","+1 9089820135"
873.71,"$29.61","South Rodolfoside","+1 7632081067"
528.75,"$27.28","Lake Alvenaville","+1 0386092047"
222.01,"$89.09","Fort Nyahaven","+1 3663474579"
65.94,"$28.06","Citlalliborough","+1 2881690701"
115.17,"$71.44","Wendellbury","+1 3843696090"
619.79,"$72.82","Davinfurt","+1 0963227429"
801.17,"$48.39","Wainochester","+1 3749184270"
560.26,"$38.07","Marysville","+1 7279094019"
92.75,"$65.79","Fort Octavialand","+1 4139616111"
490.02,"$25.33","West Clemmieside","+1 1929749890"
567.83,"$87.07","South Regan","+1 9383044694"
117.35,"$35.75","Hackensack","+1 4021399102"
146.9,"$12.81","Kemmermouth","+1 9792743979"
608.68,"$77.51","Port Makenzieton","+1 0217139214"
333.06,"$43.97","Leuschkestead","+1 8989174487"
508.06,"$64.68","North Lina","+1 1205597949"
917.87,"$62.29","McDermottstead","+1 9255244115"
299.36,"$53.73","Port Hallieworth","+1 0879622545"
152.49,"$53.00","East Brandy","+1 2908619135"
946.85,"$20.90","Quitzonstad","+1 6356844380"
998.12,"$37.54","Koreyberg","+1 5466974240"
304.89,"$87.35","Domenicport","+1 6640796779"
585.45,"$97.58","Fort Anissaside","+1 4427534218"
927.76,"$42.56","Pocatello","+1 4474942693"
650.06,"$17.27","East Mireillefort","+1 2229597107"
869.01,"$78.27","McLean","+1 1591738964"
628.89,"$83.81","Beerberg","+1 7341465509"
610.1,"$77.79","Port Velva","+1 8952907389"
464.17,"$49.71","Leschshire","+1 7156665329"
277.86,"$38.53","Magdalencester","+1 5453846752"
484.35,"$32.05","South Ceasarville","+1 2682354253"
828.85,"$83.96","South Jedediahton","+1 9177979538"
694.06,"$94.02","Arlington Heights","+1 6130272278"
861.51,"$91.08","Mohrborough","+1 1585762216"
666.55,"$52.49","Hesselside","+1 2547629048"
109.64,"$94.74","Hardytown","+1 7526687678"
945.52,"$87.81","San Buenaventura (Ventura)","+1 7555695329"
128.29,"$69.46","Alfonsostad","+1 2751220544"
261.3,"$64.29","Fort Kennedy","+1 5221693474"
326.48,"$67.12","Millerbury","+1 0683761659"
63.67,"$10.60","Friesenstad","+1 0018718273"
909.89,"$54.96","Powlowskiview","+1 7678231590"
159.21,"$80.42","Raymundofort","+1 2907653914"
254.16,"$54.05","Aprilchester","+1 7200022084"
581.54,"$57.59","New Williamview","+1 2188452389"
92.88,"$89.15","Casimirville","+1 4909676046"
846.01,"$59.24","Fort Lionel","+1 9662084487"
815.24,"$89.26","West Ilene","+1 7605591548"
340.55,"$20.10","Erickside","+1 4731027546"
